FIFO_-1
perfect  11036  , start 200.000000, end_time 3110.000000
real_exp        , start 196.795809, end_time 206.227977

perfect  11033  , start 100.000000, end_time 3100.000000
real_exp        , start 113.338635, end_time 3115.556451

perfect  11037  , start 200.000000, end_time 3120.000000
real_exp        , start 206.327522, end_time 3118.125854

perfect  11038  , start 300.000000, end_time 7120.000000
real_exp        , start 292.949839, end_time 7003.085410

perfect  11039  , start 400.000000, end_time 11120.000000
real_exp        , start 398.927660, end_time 10962.440557

perfect  11034  , start 100.000000, end_time 16120.000000
real_exp        , start 100.000000, end_time 15840.113033

perfect  11035  , start 100.000000, end_time 23120.000000
real_exp        , start 103.317280, end_time 22667.016694

perfect  11040  , start 500.000000, end_time 32120.000000
real_exp        , start 485.017499, end_time 31393.192940

SJF_-4
perfect  11053  , start 0.000000, end_time 3000.000000
real_exp        , start 0.000000, end_time 2972.158172

perfect  11054  , start 1000.000000, end_time 4000.000000
real_exp        , start 985.494050, end_time 3953.321511

perfect  11055  , start 2000.000000, end_time 8000.000000
real_exp        , start 1912.721740, end_time 7884.739305

perfect  11061  , start 7000.000000, end_time 9000.000000
real_exp        , start 6832.650555, end_time 8867.118822

perfect  11060  , start 5000.000000, end_time 11000.000000
real_exp        , start 4926.751184, end_time 10814.959741

SJF_-5
perfect  11070  , start 0.000000, end_time 2000.000000
real_exp        , start 0.000000, end_time 1988.427566

perfect  11071  , start 500.000000, end_time 2500.000000
real_exp        , start 496.245711, end_time 2469.316620

perfect  11072  , start 1000.000000, end_time 3000.000000
real_exp        , start 971.907088, end_time 2957.672567

perfect  11073  , start 1500.000000, end_time 3500.000000
real_exp        , start 1427.572859, end_time 3450.647035

PSJF_-1
perfect  11087  , start 3000.000000, end_time 6000.000000
real_exp        , start 2928.889926, end_time 5908.583741

perfect  11086  , start 2000.000000, end_time 10000.000000
real_exp        , start 1985.245501, end_time 9877.223188

perfect  11085  , start 1000.000000, end_time 16000.000000
real_exp        , start 1028.103902, end_time 15783.049871

perfect  11084  , start 0.000000, end_time 25000.000000
real_exp        , start 0.000000, end_time 24590.126999

PSJF_-2
perfect  11099  , start 1000.000000, end_time 2000.000000
real_exp        , start 958.303814, end_time 1938.316676

perfect  11098  , start 0.000000, end_time 4000.000000
real_exp        , start 0.000000, end_time 3923.061254

perfect  11105  , start 5000.000000, end_time 7000.000000
real_exp        , start 4876.319252, end_time 6834.799829

perfect  11106  , start 7000.000000, end_time 8000.000000
real_exp        , start 6837.858263, end_time 7816.553573

perfect  11104  , start 2000.000000, end_time 11000.000000
real_exp        , start 1938.678724, end_time 10759.501049

PSJF_-3
perfect  11116  , start 500.000000, end_time 1000.000000
real_exp        , start 506.833081, end_time 1000.215635

perfect  11117  , start 1000.000000, end_time 1500.000000
real_exp        , start 1000.506646, end_time 1493.033698

perfect  11118  , start 1500.000000, end_time 2000.000000
real_exp        , start 1493.844992, end_time 1989.945426

perfect  11115  , start 0.000000, end_time 3500.000000
real_exp        , start 0.000000, end_time 3466.581140

PSJF_-4
perfect  11131  , start 100.000000, end_time 1100.000000
real_exp        , start 108.378165, end_time 1203.842633

perfect  11130  , start 0.000000, end_time 3000.000000
real_exp        , start 0.169515, end_time 3069.956894

perfect  11132  , start 200.000000, end_time 7000.000000
real_exp        , start 217.255729, end_time 6985.145914

perfect  11129  , start 0.000000, end_time 14000.000000
real_exp        , start 0.000000, end_time 13797.211830

PSJF_-5
perfect  11143  , start 100.000000, end_time 200.000000
real_exp        , start 109.084602, end_time 210.324996

perfect  11145  , start 200.000000, end_time 400.000000
real_exp        , start 214.010880, end_time 414.003519

perfect  11144  , start 100.000000, end_time 4400.000000
real_exp        , start 100.000000, end_time 4316.616416

perfect  11146  , start 200.000000, end_time 8400.000000
real_exp        , start 216.594307, end_time 8211.572174

perfect  11147  , start 200.000000, end_time 15400.000000
real_exp        , start 211.623951, end_time 15045.087073

